"DATA","CASA","ITEM","QUANTIDADE","VALOR","FORNECEDOR","OBS. DE ENTREGA (NÃO RECEBEMOS 11H30 AS 14H00)","STATUS","VALOR TOTAL","R$ FIXO","INFLAÇÃO","VOL. MAX","ID","MAXIMO"
"27/07","JT - FORTUNATO CNPJ: 54.572.897/0001-57 ","CATCHUP HEINZ 397G","16,00","10,99","DTK","TERÇA A SEXTA DAS 8H30 AS 16H","CONFIRMADO","175,84","","","16","1066",""
"27/07","JT - FORTUNATO CNPJ: 54.572.897/0001-57 ","FARINHA DE MANDIOCA FINA KG","10,00","4,92","KINGFOOD","TERÇA A SEXTA DAS 8H30 AS 16H","CONFIRMADO","49,20","","","10","1067",""
"27/07","JT - FORTUNATO CNPJ: 54.572.897/0001-57 ","FARINHA DE TRIGO PREMIUM ANACONDA","20,00","5,19","KINGFOOD","TERÇA A SEXTA DAS 8H30 AS 16H","CONFIRMADO","103,80","","","20","1068",""
"27/07","JT - FORTUNATO CNPJ: 54.572.897/0001-57 ","MACARRAO SPAGHETTONI N7 BARILLA","20,00","9,54","DTK","TERÇA A SEXTA DAS 8H30 AS 16H","CONFIRMADO","190,80","","","20","1069",""
"27/07","JT - FORTUNATO CNPJ: 54.572.897/0001-57 ","MEL ISIS POTE 1KG","2,00","36,88","KINGFOOD","TERÇA A SEXTA DAS 8H30 AS 16H","CONFIRMADO","73,76","","","2","1070",""
"27/07","JT - FORTUNATO CNPJ: 54.572.897/0001-57 ","MOSTARDA GALAO CEPERA","1,00","23,99","DTK","TERÇA A SEXTA DAS 8H30 AS 16H","CONFIRMADO","23,99","","","1","1071",""
"27/07","JT - FORTUNATO CNPJ: 54.572.897/0001-57 ","OLEO DE ALGODAO BLD 15L LIZA","2,00","195,00","AVELINOS","TERÇA A SEXTA DAS 8H30 AS 16H","CONFIRMADO","390,00","","","2","1072",""
"27/07","JT - FORTUNATO CNPJ: 54.572.897/0001-57 ","OLEO DE SOJA 900ML","16,00","6,98","KINGFOOD","TERÇA A SEXTA DAS 8H30 AS 16H","CONFIRMADO","111,68","","","16","1073",""
"27/07","JT - FORTUNATO CNPJ: 54.572.897/0001-57 ","PEPINO EM CONSERVA BLD 2KG","2,00","28,99","MULTIFOODS","TERÇA A SEXTA DAS 8H30 AS 16H","CONFIRMADO","57,98","","","2","1074",""
"27/07","JT - FORTUNATO CNPJ: 54.572.897/0001-57 ","TOMATE PELADO ITALIANO 2,5KG","30,00","32,90","MEGA G","TERÇA A SEXTA DAS 8H30 AS 16H","CONFIRMADO","987,00","","","30","1075",""
"27/07","JT - FORTUNATO CNPJ: 54.572.897/0001-57 ","CHOCOLATE AO LEITE BARRA 2,1","2,00","134,77","MEGA G","TERÇA A SEXTA DAS 8H30 AS 16H","CONFIRMADO","269,54","","","2","1076",""
"27/07","JT - FORTUNATO CNPJ: 54.572.897/0001-57 ","SAINT PETER CONGELADO","30,00","55,29","MEGA G","TERÇA A SEXTA DAS 8H30 AS 16H","CONFIRMADO","1.658,70","","","30","1077",""
"27/07","MF - BETSY CNPJ: 43.672.862/0001-73 ","FERMENTO EM PO QUIMICO 100G","6,00","2,78","AVELINOS","TERÇA E QUARTA DAS 7H30 AS 11H30","CONFIRMADO","16,68","","","6","1078",""
"27/07","MF - BETSY CNPJ: 43.672.862/0001-73 ","POLENTINA QUAKER 500G","1,50","4,83","AVELINOS","TERÇA E QUARTA DAS 7H30 AS 11H30","CONFIRMADO","7,25","","","2","1079",""
"27/07","MF - BETSY CNPJ: 43.672.862/0001-73 ","COXA C/ SOBRECOXA FRANGO","40,00","7,47","MEGA G","TERÇA E QUARTA DAS 7H30 AS 11H30","CONFIRMADO","298,80","","","40","1080",""
"27/07","MF - BETSY CNPJ: 43.672.862/0001-73 ","FILE FRANGO","10,00","14,77","MEGA G","TERÇA E QUARTA DAS 7H30 AS 11H30","CONFIRMADO","147,70","","","10","1081",""
"27/07","MF - BETSY CNPJ: 43.672.862/0001-73 ","COXAO MOLE FUNCIONARIOS KG","10,00","36,29","MULTIFOODS","TERÇA E QUARTA DAS 7H30 AS 11H30","CONFIRMADO","362,90","","","10","1082",""
"27/07","MF - BETSY CNPJ: 43.672.862/0001-73 ","FILE MIGNON RESFRIADO 5UP","70,00","84,99","MULTIFOODS","TERÇA E QUARTA DAS 7H30 AS 11H30","CONFIRMADO","5.949,30","","","70","1083",""
"27/07","MF - BETSY CNPJ: 43.672.862/0001-73 ","BATATA PALITO 7MM MCCAIN SURECRSIP","60,00","15,69","MEGA G","TERÇA E QUARTA DAS 7H30 AS 11H30","CONFIRMADO","941,40","","","60","1084",""
"27/07","MF - BETSY CNPJ: 43.672.862/0001-73 ","LINGUICA TOSCANA AURORA","5,00","17,06","MEGA G","TERÇA E QUARTA DAS 7H30 AS 11H30","CONFIRMADO","85,30","","","5","1085",""
"27/07","MF - BETSY CNPJ: 43.672.862/0001-73 ","CHEDDAR BISNAGA SCALA 1,5","1,00","52,99","MULTIFOODS","TERÇA E QUARTA DAS 7H30 AS 11H30","CONFIRMADO","52,99","","","1","1086",""
"27/07","MF - BETSY CNPJ: 43.672.862/0001-73 ","CHEDDAR PROCESSADO JAMMY","2,00","35,29","MULTIFOODS","TERÇA E QUARTA DAS 7H30 AS 11H30","CONFIRMADO","70,58","","","2","1087",""
"27/07","MF - BETSY CNPJ: 43.672.862/0001-73 ","CREME DE LEITE 200GR 17%","48,00","4,89","AVELINOS","TERÇA E QUARTA DAS 7H30 AS 11H30","CONFIRMADO","234,72","","","48","1088",""
"27/07","MF - BETSY CNPJ: 43.672.862/0001-73 ","GEMA OVO PASTEURIZADA","2,00","38,90","AVELINOS","TERÇA E QUARTA DAS 7H30 AS 11H30","CONFIRMADO","77,80","","","2","1089",""
"27/07","MF - BETSY CNPJ: 43.672.862/0001-73 ","LEITE INTEGRAL UHT 1L","36,00","5,59","KINGFOOD","TERÇA E QUARTA DAS 7H30 AS 11H30","CONFIRMADO","201,24","","","36","1090",""
"27/07","MF - BETSY CNPJ: 43.672.862/0001-73 ","MANTEIGA SEM SAL BLOCO 5KG","15,00","33,67","MEGA G","TERÇA E QUARTA DAS 7H30 AS 11H30","CONFIRMADO","505,05","","","15","1091",""
"27/07","MF - BETSY CNPJ: 43.672.862/0001-73 ","QUEIJO BRIE QUATA","2,00","56,99","MULTIFOODS","TERÇA E QUARTA DAS 7H30 AS 11H30","CONFIRMADO","113,98","","","2","1092",""
"27/07","MF - BETSY CNPJ: 43.672.862/0001-73 ","QUEIJO GORGONZOLA QUATA","3,50","57,49","MULTIFOODS","TERÇA E QUARTA DAS 7H30 AS 11H30","CONFIRMADO","201,22","","","4","1093",""
"27/07","MF - BETSY CNPJ: 43.672.862/0001-73 ","QUEIJO MEIA CURA KG","2,00","85,18","MEGA G","TERÇA E QUARTA DAS 7H30 AS 11H30","CONFIRMADO","170,36","","","2","1094",""
"27/07","MF - BETSY CNPJ: 43.672.862/0001-73 ","QUEIJO MUSSARELA SCALA","3,50","47,37","MEGA G","TERÇA E QUARTA DAS 7H30 AS 11H30","CONFIRMADO","165,80","","","4","1095",""
"27/07","MF - BETSY CNPJ: 43.672.862/0001-73 ","QUEIJO PARMESAO TIROLEZ KG","6,00","75,92","MEGA G","TERÇA E QUARTA DAS 7H30 AS 11H30","CONFIRMADO","455,52","","","6","1096",""
"27/07","MF - BETSY CNPJ: 43.672.862/0001-73 ","REQUEIJAO BISNAGA SCALA 1,5","2,00","43,49","MULTIFOODS","TERÇA E QUARTA DAS 7H30 AS 11H30","CONFIRMADO","86,98","","","2","1097",""
